run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
late_delta_L22@0,capitalization,capitalization,caps_002,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-48.679046392440796,-48.679046392440796,5.712237611413002
late_delta_L22@0,capitalization,capitalization,caps_003,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-50.85906068980694,-50.85906068980694,3.0491037368774414
late_delta_L22@0,induction,induction,induction_001,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-51.68239656579681,-51.68239656579681,5.845519423484802
late_delta_L22@0,induction,induction,induction_002,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-47.56016222760081,-47.56016222760081,2.3107433319091797
late_delta_L22@0,induction,induction,induction_003,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-48.364382348023355,-48.364382348023355,4.831560134887695
late_delta_L22@0,induction,induction,induction_004,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-44.089121704921126,-44.089121704921126,11.97355604171753
late_delta_L22@0,coreference,coreference,coref_002,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-51.55171310901642,-51.55171310901642,8.118589401245117
late_delta_L22@0,coreference,coreference,coref_003,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-44.79976946115494,-44.79976946115494,8.746794700622559
late_delta_L22@0,coreference,coreference,coref_004,layer_scale:layer:L22:late_delta_L22,0.0,A,A,1,-59.01309084892273,-59.01309084892273,6.168444633483887
late_delta_L23@0,capitalization,capitalization,caps_002,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-36.177658358821645,-36.177658358821645,4.638019317528233
late_delta_L23@0,capitalization,capitalization,caps_003,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-39.00116465537576,-39.00116465537576,2.32180118560791
late_delta_L23@0,induction,induction,induction_001,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-38.632898399373516,-38.632898399373516,6.589216768741608
late_delta_L23@0,induction,induction,induction_002,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-36.15084861847572,-36.15084861847572,5.034255027770996
late_delta_L23@0,induction,induction,induction_003,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-40.90534983726684,-40.90534983726684,4.2507171630859375
late_delta_L23@0,induction,induction,induction_004,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-33.92155145830475,-33.92155145830475,13.105781555175781
late_delta_L23@0,coreference,coreference,coref_002,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-36.75230801105499,-36.75230801105499,7.274388313293457
late_delta_L23@0,coreference,coreference,coref_003,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-33.81971975369379,-33.81971975369379,8.978769302368164
late_delta_L23@0,coreference,coreference,coref_004,layer_scale:layer:L23:late_delta_L23,0.0,A,A,1,-42.66831891145557,-42.66831891145557,3.2159996032714844
