run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
late_layer_L20@0,capitalization,capitalization,caps_003,layer_scale:layer:L20:late_layer_L20,0.0,A,A,1,-75.0185604095459,-75.0185604095459,0.328125
late_layer_L20@0,induction,induction,induction_001,layer_scale:layer:L20:late_layer_L20,0.0,B,A,0,-82.09378051757812,-81.06253051757812,-1.03125
late_layer_L20@0,induction,induction,induction_002,layer_scale:layer:L20:late_layer_L20,0.0,B,A,0,-74.0107479095459,-69.8310604095459,-4.1796875
late_layer_L20@0,induction,induction,induction_003,layer_scale:layer:L20:late_layer_L20,0.0,B,A,0,-90.8058385848999,-90.7277135848999,-0.078125
late_layer_L20@0,induction,induction,induction_004,layer_scale:layer:L20:late_layer_L20,0.0,B,A,0,-72.1474666595459,-70.7373104095459,-1.41015625
late_layer_L20@0,coreference,coreference,coref_002,layer_scale:layer:L20:late_layer_L20,0.0,A,A,1,-68.53491020202637,-68.53491020202637,4.53125
late_layer_L20@0,coreference,coreference,coref_003,layer_scale:layer:L20:late_layer_L20,0.0,B,A,0,-71.18677806854248,-70.13990306854248,-1.046875
late_layer_L20@0,coreference,coreference,coref_004,layer_scale:layer:L20:late_layer_L20,0.0,A,A,1,-74.03425884246826,-74.03425884246826,3.1702880859375
late_layer_L21@0,capitalization,capitalization,caps_002,layer_scale:layer:L21:late_layer_L21,0.0,A,A,1,-61.04329013824463,-61.04329013824463,8.469927787780762
late_layer_L21@0,capitalization,capitalization,caps_003,layer_scale:layer:L21:late_layer_L21,0.0,B,A,0,-60.59755611419678,-59.65224361419678,-0.9453125
late_layer_L21@0,induction,induction,induction_001,layer_scale:layer:L21:late_layer_L21,0.0,A,A,1,-64.80512619018555,-64.80512619018555,0.375
late_layer_L21@0,induction,induction,induction_002,layer_scale:layer:L21:late_layer_L21,0.0,B,A,0,-59.31337642669678,-58.75185298919678,-0.5615234375
late_layer_L21@0,induction,induction,induction_003,layer_scale:layer:L21:late_layer_L21,0.0,A,A,1,-61.12849187850952,-61.12849187850952,0.625
late_layer_L21@0,induction,induction,induction_004,layer_scale:layer:L21:late_layer_L21,0.0,B,A,0,-59.49794673919678,-59.10707759857178,-0.390869140625
late_layer_L21@0,coreference,coreference,coref_002,layer_scale:layer:L21:late_layer_L21,0.0,B,A,0,-59.634886741638184,-58.535277366638184,-1.099609375
late_layer_L21@0,coreference,coreference,coref_003,layer_scale:layer:L21:late_layer_L21,0.0,B,A,0,-59.9721565246582,-58.8061408996582,-1.166015625
late_layer_L21@0,coreference,coreference,coref_004,layer_scale:layer:L21:late_layer_L21,0.0,A,A,1,-59.83519172668457,-59.83519172668457,0.15625
late_layer_L22@0,capitalization,capitalization,caps_002,layer_scale:layer:L22:late_layer_L22,0.0,A,A,1,-67.03837871551514,-67.03837871551514,13.221935272216797
late_layer_L22@0,capitalization,capitalization,caps_003,layer_scale:layer:L22:late_layer_L22,0.0,B,A,0,-67.98676013946533,-65.70551013946533,-2.28125
late_layer_L22@0,induction,induction,induction_001,layer_scale:layer:L22:late_layer_L22,0.0,A,A,1,-87.7248182296753,-87.7248182296753,1.453125
late_layer_L22@0,induction,induction,induction_002,layer_scale:layer:L22:late_layer_L22,0.0,A,A,1,-67.10004138946533,-67.10004138946533,0.62109375
late_layer_L22@0,induction,induction,induction_003,layer_scale:layer:L22:late_layer_L22,0.0,B,A,0,-90.41382122039795,-90.28882122039795,-0.125
late_layer_L22@0,induction,induction,induction_004,layer_scale:layer:L22:late_layer_L22,0.0,B,A,0,-66.67953968048096,-66.33246326446533,-0.347076416015625
late_layer_L22@0,coreference,coreference,coref_002,layer_scale:layer:L22:late_layer_L22,0.0,B,A,0,-66.51016426086426,-66.36172676086426,-0.1484375
late_layer_L22@0,coreference,coreference,coref_003,layer_scale:layer:L22:late_layer_L22,0.0,B,A,0,-68.06661224365234,-67.70723724365234,-0.359375
late_layer_L22@0,coreference,coreference,coref_004,layer_scale:layer:L22:late_layer_L22,0.0,B,A,0,-67.19783115386963,-66.48396396636963,-0.7138671875
late_layer_L23@0,capitalization,capitalization,caps_002,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,12.211498260498047
late_layer_L23@0,capitalization,capitalization,caps_003,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,0.0
late_layer_L23@0,induction,induction,induction_001,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-73.26898956298828,-73.26898956298828,0.0
late_layer_L23@0,induction,induction,induction_002,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,0.0
late_layer_L23@0,induction,induction,induction_003,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-73.26898956298828,-73.26898956298828,0.0
late_layer_L23@0,induction,induction,induction_004,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,0.0
late_layer_L23@0,coreference,coreference,coref_002,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,0.0
late_layer_L23@0,coreference,coreference,coref_003,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,0.0
late_layer_L23@0,coreference,coreference,coref_004,layer_scale:layer:L23:late_layer_L23,0.0,A,A,1,-61.057491302490234,-61.057491302490234,0.0
